tumorA,tumorB,distance
KIRC,SKCM,0.07674060720160596
KIRC,STAD,0.7049039534572334
KIRC,THCA,0.8472482138436167
KIRC,UCEC,0.6274635755275131
LUAD,AML,1.0
LUAD,BLCA,0.0655894503887375
LUAD,BRCA,0.41122808332033145
LUAD,COAD,0.07068629288387983
LUAD,GBM,0.15891330031542097
LUAD,HNSC,0.0767418121181942
LUAD,KIRC,0.31934985963197565
LUAD,LUAD,0.006013163529919865
LUAD,LUSC,0.0
LUAD,OV,0.22111445459367066
LUAD,READ,0.12349076767181527
LUAD,SKCM,0.04020097450379539
LUAD,STAD,0.014408962866898986
LUAD,THCA,0.8630566347361684
LUAD,UCEC,0.057594159479077194
LUSC,AML,1.0
LUSC,BLCA,0.030038472526164903
LUSC,BRCA,0.38904507284200834
LUSC,COAD,0.06544187178152279
LUSC,GBM,0.16122784774168145
LUSC,HNSC,0.03687729036567545
LUSC,KIRC,0.3070406922577632
LUSC,LUAD,0.04457193362665055
LUSC,LUSC,0.0
LUSC,OV,0.14338496403568768
LUSC,READ,0.11098452240000202
LUSC,SKCM,0.050906846774331355
LUSC,STAD,0.05360537612155824
LUSC,THCA,0.904507582444381
LUSC,UCEC,0.06512849912733337
OV,AML,0.5360745661073719
OV,BLCA,0.6128043303754879
OV,BRCA,0.5285025083457627
OV,COAD,0.48772547352345935
OV,GBM,0.6054086704236616
OV,HNSC,0.29561061432871505
OV,KIRC,1.0
OV,LUAD,0.5286089930884603
OV,LUSC,0.20918219131660168
OV,OV,0.0
OV,READ,0.22533272606430038
OV,SKCM,0.9339537640000417
OV,STAD,0.5562403399536172
OV,THCA,0.6262827740055058
OV,UCEC,0.8512138109363884
READ,AML,1.0
READ,BLCA,0.33711744429040774
READ,BRCA,0.5970020245421218
READ,COAD,0.0
READ,GBM,0.5496246686031326
READ,HNSC,0.2570623999271605
READ,KIRC,0.8011634963222862
READ,LUAD,0.2652911849299175
READ,LUSC,0.1589947646840566
READ,OV,0.24748403462329666
READ,READ,0.02032034460413275
READ,SKCM,0.28511085087155785
READ,STAD,0.24395413893391618
READ,THCA,0.9117821165177581
READ,UCEC,0.35643138156699267
SKCM,AML,1.0
SKCM,BLCA,0.06145788665322501
SKCM,BRCA,0.35096626478161336
SKCM,COAD,0.08997955349341397
SKCM,GBM,0.1374093026052666
SKCM,HNSC,0.0
SKCM,KIRC,0.16300081886574413
SKCM,LUAD,0.07143380644103749
SKCM,LUSC,0.047671957349435315
SKCM,OV,0.30242735066580434
SKCM,READ,0.13774199913749247
SKCM,SKCM,0.0015900311751332113
SKCM,STAD,0.07010694081341651
SKCM,THCA,0.5947834005415338
SKCM,UCEC,0.07506612587455153
STAD,AML,1.0
STAD,BLCA,0.05007427997762349
STAD,BRCA,0.290623657432774
STAD,COAD,0.05883870263065851
STAD,GBM,0.14643242877863608
STAD,HNSC,0.06078943764533371
STAD,KIRC,0.2778145716001196
STAD,LUAD,0.003991476176087244
STAD,LUSC,0.0
STAD,OV,0.20027592114415485
STAD,READ,0.09386324571451697
STAD,SKCM,0.025709190176440855
STAD,STAD,0.005621577927474309
STAD,THCA,0.7257018292051862
STAD,UCEC,0.04297750962819727
THCA,AML,0.042748237298698075
THCA,BLCA,0.9400649088617332
THCA,BRCA,0.2659870386451113
THCA,COAD,0.6967148171323564
THCA,GBM,0.310916226992408
THCA,HNSC,0.6791691154172272
THCA,KIRC,0.36193481975722674
THCA,LUAD,0.9050137799016761
THCA,LUSC,1.0
THCA,OV,0.2618677150241847
THCA,READ,0.44361357221960657
THCA,SKCM,0.8076288773281742
THCA,STAD,0.8488093220918363
THCA,THCA,0.0
THCA,UCEC,0.9143218156115114
UCEC,AML,1.0
UCEC,BLCA,0.10419324957891042
UCEC,BRCA,0.2795031432612285
UCEC,COAD,0.11316748936832063
UCEC,GBM,0.17223216909942884
UCEC,HNSC,0.09678126417327183
UCEC,KIRC,0.29072083691792205
UCEC,LUAD,0.08619764683773194
UCEC,LUSC,0.056574026539275304
UCEC,OV,0.32124823047760726
UCEC,READ,0.17867101713173594
UCEC,SKCM,0.07571459399424603
UCEC,STAD,0.08601775353111867
UCEC,THCA,0.7789976509082955
UCEC,UCEC,0.0
